celex,subject,country,case_label,ecli,judge,advocate,chamber,lodge_date,document_date,year_document,year_lodge,is_join_case,ruling_title,ruling_name,ruling_type
62007CJ0484,Association Agreement,Netherlands,  Case C-484/07,EU:C:2011:395,Kasel,Sharpston,Netherlands-First Chamber,2007-10-31,2011-06-16,2011,2007.0,0,Judgment of the Court (First Chamber) of 16 June 2011. , Fatma Pehlivan v Staatssecretaris van Justitie. , Reference for a preliminary ruling: Rechtbank ’s-Gravenhage - Netherlands. 
62007CJ0484,External relations,Netherlands,  Case C-484/07,EU:C:2011:395,Kasel,Sharpston,Netherlands-First Chamber,2007-10-31,2011-06-16,2011,2007.0,0,Judgment of the Court (First Chamber) of 16 June 2011. , Fatma Pehlivan v Staatssecretaris van Justitie. , Reference for a preliminary ruling: Rechtbank ’s-Gravenhage - Netherlands. 
62007CJ0484,Free movement of workers,Netherlands,  Case C-484/07,EU:C:2011:395,Kasel,Sharpston,Netherlands-First Chamber,2007-10-31,2011-06-16,2011,2007.0,0,Judgment of the Court (First Chamber) of 16 June 2011. , Fatma Pehlivan v Staatssecretaris van Justitie. , Reference for a preliminary ruling: Rechtbank ’s-Gravenhage - Netherlands. 
62007CJ0485,Association Agreement,Netherlands,  Case C-485/07,EU:C:2011:346,Kasel,Sharpston,Netherlands-First Chamber,2007-11-05,2011-05-26,2011,2007.0,0,Judgment of the Court (First Chamber) of 26 May 2011. , Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen v H. Akdas and Others. , Reference for a preliminary ruling: Centrale Raad van Beroep - Netherlands. 
62007CJ0485,External relations,Netherlands,  Case C-485/07,EU:C:2011:346,Kasel,Sharpston,Netherlands-First Chamber,2007-11-05,2011-05-26,2011,2007.0,0,Judgment of the Court (First Chamber) of 26 May 2011. , Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen v H. Akdas and Others. , Reference for a preliminary ruling: Centrale Raad van Beroep - Netherlands. 
62007CJ0485,Social security for migrant workers,Netherlands,  Case C-485/07,EU:C:2011:346,Kasel,Sharpston,Netherlands-First Chamber,2007-11-05,2011-05-26,2011,2007.0,0,Judgment of the Court (First Chamber) of 26 May 2011. , Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen v H. Akdas and Others. , Reference for a preliminary ruling: Centrale Raad van Beroep - Netherlands. 
62008CJ0047,Free movement of workers,Belgium,  Case C-47/08,EU:C:2011:334,Arabadjiev,Cruz VillalÃ³n,Belgium-Grand Chamber,2008-02-11,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011. , European Commission v Kingdom of Belgium. ,not_specified
62008CJ0047,Freedom to provide services,Belgium,  Case C-47/08,EU:C:2011:334,Arabadjiev,Cruz VillalÃ³n,Belgium-Grand Chamber,2008-02-11,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011. , European Commission v Kingdom of Belgium. ,not_specified
62008CJ0047,Right of establishment,Belgium,  Case C-47/08,EU:C:2011:334,Arabadjiev,Cruz VillalÃ³n,Belgium-Grand Chamber,2008-02-11,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011. , European Commission v Kingdom of Belgium. ,not_specified
62008CJ0050,Right of establishment,France,Case C-50/08,EU:C:2011:335,Arabadjiev,Cruz VillalÃ³n,France-Grand Chamber,2008-02-12,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011.,European Commission v French Republic.,not_specified
62008CJ0051,Right of establishment,Luxembourg,Case C-51/08,EU:C:2011:336,Arabadjiev,Cruz VillalÃ³n,Luxembourg-Grand Chamber,2008-02-12,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011.,European Commission v Grand Duchy of Luxemburg.,not_specified
62008CJ0052,Free movement of workers,Portugal,  Case C-52/08,EU:C:2011:337,Arabadjiev,Cruz VillalÃ³n,Portugal-Grand Chamber,2008-02-12,2011-05-24,2011,2008.0,0,Judgment of the Court (Grand Chamber) of 24 May 2011. , European Commission v Portuguese Republic. ,not_specified
