source;cites;is_cited
61954CJ0001;0;8
61954CJ0002;0;7
61954CJ0003;1;4
61954CJ0004;1;1
61954CJ0006;0;1
61954CJ0007;1;2
61954CJ0008;0;1
61955CJ0001;0;1
61955CJ0005;3;0
61955CJ0008;0;5
61955CJ0008(01);1;0
61955CJ0009;0;1
61955CJ0010;0;0
61956CJ0001;0;0
61956CJ0002;0;3
61956CJ0007;1;3
61956CJ0008;0;0
61956CJ0009;1;14
61956CJ0010;1;3
61957CJ0001;1;2
61957CJ0002;0;1
61957CJ0008;0;4
61957CJ0009;0;0
61957CJ0010;0;0
61957CJ0011;0;0
61957CJ0012;0;0
61957CJ0013;0;1
61957CJ0015;0;4
61957CJ0017;0;0
61957CJ0018;0;3
61958CJ0001;0;0
61958CJ0003;0;1
61958CJ0019;0;3
61958CJ0020;0;3
61958CJ0021;0;3
61958CJ0022;0;3
61958CJ0023;0;3
61958CJ0024;0;3
61958CJ0027;0;0
61958CJ0032;4;10
61958CJ0036;3;1
61958CJ0042;5;1
61959CJ0001;0;0
61959CJ0003;1;0
61959CJ0004;0;0
61959CJ0014;1;1
61959CJ0015;0;0
61959CJ0016;0;0
61959CJ0020;0;1
61959CJ0023;0;3
61959CJ0025;0;1
61959CJ0027;0;3
61959CJ0030;0;18
61959CJ0031;0;1
61959CJ0033;1;0
61959CJ0034;0;0
61959CJ0036;1;0
61959CJ0041;0;0
61959CJ0042;1;14
61959CJ0043;0;2
61959CJ0044;0;3
61959CJ0046;1;6
61960CJ0001;1;0
61960CJ0002;0;0
61960CJ0005;3;0
61960CJ0006;0;8
61960CJ0009;0;2
61960CJ0013;0;2
61960CJ0014;1;1
61960CJ0015;0;1
61960CJ0018;0;1
61960CJ0019;0;4
61960CJ0022;0;0
61960CJ0025;2;1
61961CJ0007;0;3
61961CJ0009;0;1
61961CJ0010;0;6
61961CJ0012;0;0
61961CJ0013;0;2
61961CJ0014;3;2
61961CJ0016;0;1
61961CJ0017;2;5
61961CJ0019;2;0
61961CJ0021;0;1
61962CJ0002;0;4
61962CJ0005;0;4
61962CJ0016;0;2
61962CJ0018;0;1
61962CJ0019;0;1
61962CJ0024;0;1
61962CJ0025;0;46
61962CJ0026;0;8
61962CJ0028;1;9
61962CJ0031;0;1
61962CJ0032;0;0
61962CJ0034;0;0
61962CJ0035;0;1
61962CJ0036;1;1
61963CJ0001;0;0
61963CJ0002;1;0
61963CJ0011;0;0
61963CJ0012;0;0
61963CJ0013;0;0
61963CJ0014;0;0
61963CJ0015;0;1
61963CJ0018;0;0
61963CJ0019;1;0
61963CJ0020;0;2
61963CJ0023;0;0
61963CJ0026;0;1
61963CJ0027;0;1
61963CJ0028;0;0
61963CJ0029;0;2
61963CJ0029(01);1;0
61963CJ0053;0;0
61963CJ0055;0;1
61963CJ0066;1;0
61963CJ0067;0;2
61963CJ0068;1;0
61963CJ0069;0;1
61963CJ0070;0;8
61963CJ0070(01);1;0
61963CJ0073;3;0
61963CJ0075;0;10
61963CJ0078;0;0
61963CJ0079;0;1
61963CJ0080;0;0
61963CJ0083;0;1
61963CJ0084;0;0
61963CJ0087;0;0
61963CJ0090;0;5
61963CJ0092;0;3
61963CJ0093;0;0
61963CJ0094;0;1
61963CJ0097;0;0
61963CJ0100;0;7
61963CJ0101;0;1
61963CJ0102;0;0
61963CJ0103;0;0
61963CJ0106;0;5
61963CJ0108;1;0
61963CJ0109;0;1
61963CJ0110;0;1
61963CJ0110(01);1;0
61963CJ0111;1;1
61964CJ0001;0;0
61964CJ0003;0;1
61964CJ0006;0;23
61964CJ0009;0;0
61964CJ0010;0;0
61964CJ0011;0;1
61964CJ0012;1;4
61964CJ0014;1;1
61964CJ0015;0;0
61964CJ0016;0;3
61964CJ0018;0;0
61964CJ0020;0;0
61964CJ0021;0;2
61964CJ0023;0;2
61964CJ0024;1;3
61964CJ0027;1;1
61964CJ0028;0;1
61964CJ0028(01);1;0
61964CJ0031;0;0
61964CJ0032;0;0
61964CJ0033;0;2
