source,target
61995CJ0259,61981CJ0039
61995CJ0259,61986CJ0031
61995CJ0259,61988CJ0331
61995CJ0259,61995CJ0072
62016CJ0111,62010CJ0058
62016CJ0111,62011CJ0036
62015CJ0282,61982CJ0174
62015CJ0282,61994CJ0134
62015CJ0282,62001CJ0192
62015CJ0282,62001CJ0236
62015CJ0282,62007CJ0205
62015CJ0282,62008CJ0333
62015CJ0282,62008CJ0446
62015CJ0282,62015CJ0268
62015CJ0177,62012CJ0299
62013CJ0137,62009CJ0266
62013CJ0137,62010CJ0319
62013CJ0137,62012CJ0335
62011CJ0636,62009CJ0243
62010CJ0058,61999CJ0006
62010CJ0058,62001CJ0236
62010CJ0058,62007CJ0375
62010CJ0058,62008CJ0165
62008CJ0120,61973CJ0159
62008CJ0120,62000CJ0074
62008CJ0120,62005CJ0154
62008CJ0120,62007CJ0478
62007CJ0446,61993CJ0470
62007CJ0446,61996CJ0210
62007CJ0446,61997CJ0421
62007CJ0446,61998CJ0220
62007CJ0446,61998CJ0366
62007CJ0446,62002CJ0465
62007CJ0446,62004CJ0393
62007CJ0446,62005CJ0132
62007CJ0343,61988CJ0011
62007CJ0343,61991CJ0097
62007CJ0343,61993CJ0280
62007CJ0343,61993CJ0306
62007CJ0343,61994CJ0122
62007CJ0343,61995CJ0179
62007CJ0343,61995CJ0241
62007CJ0343,61996CJ0004
62007CJ0343,61996CJ0180
62007CJ0343,61996CJ0289
62007CJ0343,61996CJ0404
62007CJ0343,61997CJ0087
62007CJ0343,61999CJ0120
62007CJ0343,61999CJ0239
62007CJ0343,61999CJ0269
62007CJ0343,62001CJ0189
62007CJ0343,62001CJ0304
62007CJ0343,62001CJ0486
62007CJ0343,62003CJ0535
62007CJ0343,62005CJ0132
62007CJ0343,62005CJ0441
62007CJ0343,62006CJ0015
62003CJ0135,62001CJ0194
62003CJ0135,62002CJ0063
62003CJ0135,62002CJ0341
62003CJ0135,62003CJ0482
62004CJ0107,62003CJ0135
62004CJ0203,61996CJ0157
62003CJ0211,61982CJ0227
62003CJ0211,61988CJ0369
62003CJ0211,61989CJ0060
62003CJ0211,61989CJ0112
62003CJ0211,61990CJ0290
62003CJ0211,61991CJ0219
62003CJ0211,61996CJ0001
62003CJ0211,61997CJ0120
62003CJ0211,61998CJ0318
62003CJ0211,61999CJ0387
62003CJ0211,62000CJ0150
62003CJ0211,62001CJ0192
62001CJ0216,61988CJ0125
62001CJ0216,61991CJ0003
62001CJ0216,61994CJ0321
62001CJ0216,61995CJ0364
62001CJ0216,61997CJ0087
62001CJ0216,61998CJ0084
62001CJ0216,61998CJ0312
62001CJ0216,61998CJ0379
62001CJ0216,61998CJ0448
62000CJ0469,61991CJ0003
62000CJ0469,61995CJ0388
62000CJ0469,61996CJ0114
62000CJ0469,61996CJ0209
62000CJ0469,61998CJ0209
62000CJ0469,61998CJ0230
62000CJ0469,61999CJ0088
62000CJ0469,61999CJ0169
62000CJ0469,62000CJ0469
62000CJ0469,62001CJ0108
62001CJ0108,61995CJ0388
62001CJ0108,61996CJ0114
62001CJ0108,61996CJ0209
62001CJ0108,61998CJ0209
62001CJ0108,61999CJ0169
62001CJ0108,62001CJ0108
62000CJ0066,61993CJ0415
62000CJ0066,61999CJ0390
61998CJ0312,61980CJ0027
61998CJ0312,61994CJ0321
61998CJ0312,61997CJ0129
61996CJ0289,61991CJ0003
61997CJ0087,61989CJ0241
61997CJ0087,61991CJ0003
61997CJ0087,61992CJ0351
61997CJ0087,61993CJ0470
61997CJ0087,61994CJ0313
61997CJ0087,61997CJ0129
61994CJ0321,61974CJ0008
61994CJ0321,61978CJ0013
61994CJ0321,61980CJ0113
61994CJ0321,61981CJ0286
61994CJ0321,61991CJ0003
61991CJ0146,61981CJ0106
61991CJ0146,61982CJ0008
61991CJ0146,61986CJ0058
61991CJ0146,61986CJ0068
61991CJ0146,61990CJ0258
61991CJ0146,61992CJ0371
61991CJ0222,61992CJ0011
61992CJ0011,61978CJ0148
61985CJ0179,61983CJ0016
61982CJ0042,61982CO0042
61981CJ0124,61975CJ0104
61981CJ0124,61977CJ0082
61981CJ0124,61978CJ0232
61981CJ0124,61978CJ0251
61981CJ0124,61980CJ0130
61980CJ0130,61977CJ0082
61980CJ0130,61978CJ0120
61980CJ0130,61979CJ0788
61980CJ0130,61980CJ0027
62002CJ0239,61989CJ0241
62002CJ0239,61991CJ0267
62002CJ0239,61995CJ0034
62002CJ0239,61997CJ0077
62002CJ0239,61998CJ0349
62002CJ0239,61998CJ0405
62002CJ0239,61998CJ0448
62002CJ0239,61998CJ0465
62002CJ0239,62000CJ0221
62002CJ0239,62000CJ0421
62002CJ0239,62001CJ0438
62008CJ0393,61972CJ0008
62008CJ0393,61974CJ0002
62008CJ0393,61990CJ0179
62008CJ0393,61994CJ0055
62008CJ0393,61999CJ0035
62008CJ0393,62003CJ0451
62008CJ0393,62004CJ0094
62008CJ0393,62005CJ0222
62008CJ0393,62007CJ0169
62008CJ0393,62007CJ0570
61994CJ0085,61989CJ0369
62015CJ0503,62004CJ0506
62015CJ0503,62011CJ0363
62015CJ0503,62013CJ0058
62015CJ0503,62013CJ0222
62015CJ0503,62013CJ0377
62015CJ0503,62013CO0555
62015CJ0503,62014CJ0032
62015CJ0503,62014CJ0049
62015CJ0503,62014CJ0203
62014CJ0049,61999CJ0088
62014CJ0049,62008CJ0040
62014CJ0049,62008CJ0384
62014CJ0049,62010CJ0618
62014CJ0049,62011CJ0415
62014CJ0049,62012CJ0413
62014CJ0049,62012CJ0470
62014CJ0049,62014CJ0169
62014CJ0157,62001CJ0491
62014CJ0157,62004CJ0154
62014CJ0157,62010CJ0544
62014CJ0157,62012CJ0609
62014CJ0157,62013CJ0269
62014CJ0157,62014CJ0195
62014CJ0157,62014CJ0207
62014CJ0157,62014CJ0452
62014CJ0169,62005CJ0168
62014CJ0169,62007CJ0514
62014CJ0169,62008CJ0040
62014CJ0169,62008CJ0317
62014CJ0169,62010CJ0069
62014CJ0169,62010CJ0618
62014CJ0169,62011CJ0199
62014CJ0169,62011CJ0415
62014CJ0169,62011CJ0472
62014CJ0169,62012CJ0413
62014CJ0169,62012CJ0470
62014CJ0169,62012CO0537
62014CJ0169,62013CJ0280
62014CJ0169,62014CO0169
62012CJ0470,61980CJ0244
62012CJ0470,61991CJ0083
62012CJ0470,61993CJ0422
62012CJ0470,61996CJ0314
62012CJ0470,61998CJ0240
62012CJ0470,61999CJ0372
62012CJ0470,62000CJ0473
62012CJ0470,62000CJ0480
62012CJ0470,62002CJ0151
62012CJ0470,62002CJ0225
62012CJ0470,62004CJ0237
62012CJ0470,62005CJ0168
62012CJ0470,62005CJ0222
62012CJ0470,62006CJ0210
62012CJ0470,62006CJ0445
62012CJ0470,62006CO0368
62012CJ0470,62008CJ0040
62012CJ0470,62008CJ0063
62012CJ0470,62008CJ0243
62012CJ0470,62010CJ0472
62012CJ0470,62010CO0076
62012CJ0470,62012CJ0361
62012CJ0470,62012CJ0413
62012CJ0470,62012CO0564
62010CJ0544,61978CJ0152
62010CJ0544,61990CJ0001
62010CJ0544,61994CJ0022
62010CJ0544,62000CJ0020
62010CJ0544,62002CJ0262
62010CJ0544,62002CJ0429
62010CJ0544,62003CJ0210
62010CJ0544,62006CJ0275
62010CJ0070,62006CJ0275
62010CJ0070,62009CJ0324
62015CJ0191,62000CJ0167
62015CJ0191,62010CJ0472
62015CJ0191,62012CJ0548
62015CJ0191,62013CJ0026
62015CJ0191,62014CJ0096
62015CJ0191,62014CJ0230
62015CJ0191,62014CJ0359
62010CJ0292,61979CJ0125
62010CJ0292,61993CJ0068
62010CJ0292,62003CJ0522
62010CJ0292,62007CJ0394
62010CJ0292,62008CJ0341
62010CJ0292,62009CJ0509
62010CJ0292,62010CJ0327
62010CJ0327,61979CJ0125
62010CJ0327,61984CJ0049
62010CJ0327,62002CJ0018
62010CJ0327,62002CJ0281
62010CJ0327,62007CJ0394
62010CJ0327,62008CJ0189
62010CJ0327,62009CJ0509
62011CJ0092,61986CJ0024
62011CJ0092,62003CJ0402
62011CJ0092,62004CJ0524
62011CJ0092,62005CJ0313
62011CJ0092,62008CJ0137
62011CJ0092,62009CJ0002
62011CJ0092,62010CJ0263
