source,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,ruling_type,ruling_content
62002CJ0237,  Case C-237/02,EU:C:2004:209,Judgement,Jann, L.A. Geelhoed,Germany,Germany-Fifth Chamber,Fifth Chamber,2,2002-06-27,2004-04-01,2004,4,2002.0,6.0,644 days 00:00:00.000000000,1,0,Judgment of the Court (Fifth Chamber) of 1 April 2004. , Freiburger Kommunalbauten GmbH Baugesellschaft &amp; Co. KG v Ludger Hofstetter and Ulrike Hofstetter. , Reference for a preliminary ruling: Bundesgerichtshof - Germany. , Directive 93/13/EEC - Unfair terms in consumer contracts - Contract for the building and supply of a parking space - Reversal of the order of performance of contractual obligations provided for under national law - Clause obliging the consumer to pay the price before the seller or supplier has performed his obligations - Obligation on the seller or supplier to provide a guarantee. 
62000CJ0469,  Case C-469/00,EU:C:2003:295,Judgement,Gulmann,Alber,France,France-not_specified,not_specified,3,2000-12-27,2003-05-20,2003,5,2000.0,12.0,874 days 00:00:00.000000000,1,0,Judgment of the Court of 20 May 2003. , Ravil SARL v Bellon import SARL and Biraghi SpA. , Reference for a preliminary ruling: Cour de cassation - France. , Protected designations of origin - Regulation (EEC) No 2081/92 - Regulation (EEC) No 1107/96 - Grana Padano freshly grated - Specification - Convention between two Member States - Condition that the cheese is grated and packaged in the region of production - Articles 29 EC and 30 EC - Justification - Whether the condition may be relied on against third parties - Legal certainty- Publicity. 
62001CJ0108,  Case C-108/01,EU:C:2003:296,Judgement,Gulmann,Alber,United Kingdom,United Kingdom-not_specified,not_specified,3,2001-03-07,2003-05-20,2003,5,2001.0,3.0,804 days 00:00:00.000000000,1,0,Judgment of the Court of 20 May 2003. , Consorzio del Prosciutto di Parma and Salumificio S. Rita SpA v Asda Stores Ltd and Hygrade Foods Ltd. , Reference for a preliminary ruling: House of Lords - United Kingdom. , Protected designations of origin - Regulation (EEC) No 2081/92 - Regulation (EC) No 1107/96 - Prosciutto di Parma - Specification - Requirement for ham to be sliced and packaged in the region of production - Articles 29 EC and 30 EC - Justification - Whether requirement may be relied on against third parties - Legal certainty - Publicity. 
62001CJ0386,  Case C-386/01,EU:C:2002:491,Judgement,Jann,Alber,Spain,Spain-First Chamber,First Chamber,2,2001-10-08,2002-09-12,2002,9,2001.0,10.0,339 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber) of 12 September 2002. , Commission of the European Communities v Kingdom of Spain. ,not_specified, Failure by a Member State to fulfil its obligations - Failure to transpose Directive 98/7/EC. 
61999CJ0372,  Case C-372/99,EU:C:2002:42,Judgement,Jann,Alber,Italy,Italy-Fifth Chamber,Fifth Chamber,2,1999-10-06,2002-01-24,2002,1,1999.0,10.0,841 days 00:00:00.000000000,1,0,Judgment of the Court (Fifth Chamber) of 24 January 2002. , Commission of the European Communities v Italian Republic. ,not_specified, Failure by a Member State to fulfil its obligations - Directive 93/13/CEE - Unfair terms in contracts concluded with consumers - Means to prevent the use of those clauses. 
61997CJ0423,  Case C-423/97,EU:C:1999:197,Judgement,Gulmann,Alber,Spain,Spain-Third Chamber,Third Chamber,2,1997-12-15,1999-04-22,1999,4,1997.0,12.0,493 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 22 April 1999. , Travel Vac SL v Manuel José Antelm Sanchis. , Reference for a preliminary ruling: Juzgado de Primera Instancia de Valencia - Spain. , Directive 85/577/EEC - Scope - Time-share contracts - Right of renunciation. 
62016CJ0111,Case C-111/16,EU:C:2017:676,Judgement,Bay Larsen,Bobek,Italy,Italy-Third Chamber,Third Chamber,4,2016-02-24,2017-09-13,2017,9,2016.0,2.0,567 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 13 September 2017.,Criminal proceedings against Giorgio Fidenato and Others.,Request for a preliminary ruling from the Tribunale di Udine.,Reference for a preliminary ruling — Agriculture — Genetically modified food and feed — Emergency measures — National measure seeking to prohibit the cultivation of genetically modified maize MON 810 — Maintenance or renewal of the measure — Regulation (EC) No 1829/2003 — Article 34 — Regulation (EC) No 178/2002 — Articles 53 and 54 — Conditions of application — Precautionary principle.
62015CJ0282,Case C-282/15,EU:C:2017:26,Judgement,Lycourgos,Bobek,Germany,Germany-Fourth Chamber,Fourth Chamber,3,2015-06-11,2017-01-19,2017,1,2015.0,6.0,588 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 19 January 2017.,Queisser Pharma GmbH &amp; Co. KG v Bundesrepublik Deutschland.,Request for a preliminary ruling from the Verwaltungsgericht Braunschweig.,Reference for a preliminary ruling — Free movement of goods — Articles 34 TFEU to 36 TFEU — Purely domestic situation — Food safety — Regulation (EC) No 178/2002 — Article 6 — Principle of risk analysis — Article 7 — Precautionary principle — Regulation (EC) No 1925/2006 — Member State legislation prohibiting the manufacture and sale of food supplements containing amino acids — Situation in which a temporary derogation to that prohibition is at the discretion of the national authority.
62015CJ0177,Case C-177/15,EU:C:2016:888,Judgement,Safjan,Bobek,Germany,Germany-Third Chamber,Third Chamber,3,2015-04-21,2016-11-23,2016,11,2015.0,4.0,582 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 23 November 2016.,Nelsons GmbH v Ayonnax Nutripharm GmbH and Bachblütentreff Ltd.,Request for a preliminary ruling from the Bundesgerichtshof.,Reference for a preliminary ruling — Consumer information and protection — Regulation (EC) No 1924/2006 — Nutrition and health claims made on foods — Transitional measures — Article 28(2) — Products bearing trade marks or brand names existing before 1 January 2005 — ‘Bach flower’ remedies — European Union mark RESCUE — Products marketed as medicinal products before 1 January 2005 and as foodstuffs after that date.
62015CJ0375,Case C-375/15,EU:C:2017:38,Judgement,Safjan,Bobek,Austria,Austria-Third Chamber,Third Chamber,4,2015-07-15,2017-01-25,2017,1,2015.0,7.0,560 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 25 January 2017.,BAWAG PSK Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG v Verein für Konsumenteninformation.,Request for a preliminary ruling from the Oberster Gerichtshof.,Reference for a preliminary ruling — Directive 2007/64/EC — Payment services in the internal market — Framework contracts — Prior general information — Obligation to provide that information on paper or on another durable medium — Information transmitted by means of the electronic mailbox of an online banking website.
