source,judge,advocate,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,main_subject
62011CO0650,Šváby,Wahl,Order of the Court (Tenth Chamber) of 10 January 2013,Tenth Chamber,  Ilgvars Brunovskis v Lauku atbalsta dienests,  Reference for a preliminary ruling: Augstākās tiesas Senāts - Latvia,  Common agricultural policy - Regulation (EC) No 1782/2003 - Implementation of support schemes in the new Member States - Complementary national direct payments - Conditions for grant - Regulation (EC) No 1973/2004 - Inapplicable,  Case C-650/11,ECLI identifier: ECLI:EU:C:2013:7,19/12/2011,10/1/2013,Latvia,AGRI
62010CO0519,Šváby,Cruz Villalón,Order of the Court (Seventh Chamber) of 18 November 2011,Seventh Chamber,  Giovanni Colapietro v Ispettorato Centrale Repressioni Frodi,  Reference for a preliminary ruling: Tribunale di Bari - Italy,  Reference for a preliminary ruling - Articles 92(1); 103(1) and the second subparagraph of 104(3) of the Rules of Procedure - Wine sector - Regulation (EEC) No 822/87 and Regulation (EC) No 343/94 - Answer to the question admitting of no reasonable doubt - Manifest inadmissibility,  Case C-519/10,ECLI identifier: ECLI:EU:C:2011:758,27/10/2010,18/11/2011,Italy,AGRI
62016CO0121,Šváby,Szpunar,Order of the Court (Eighth Chamber) of 21 June 2016,Eighth Chamber,Salumificio Murru SpA v Autotrasporti di Marongiu Remigio,Request for a preliminary ruling from the Tribunale civile e penale di Cagliari,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Article 101 TFEU — Road transport — Price of road haulage services for hire or reward which may not be lower than the minimum operating costs — Competition — Fixing of costs by the Ministry of Infrastructure and Transport,Case C-121/16,ECLI identifier: ECLI:EU:C:2016:543,29/02/2016,21/06/2016,Italy,CONC
62013CO0384,Šváby,Mengozzi,Order of the Court (Tenth Chamber) of 4 December 2014,Tenth Chamber,Estación de Servicio Pozuelo 4; SL v GALP Energía España SAU,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑384/13,ECLI identifier: ECLI:EU:C:2014:2425,5/7/2013,4/12/2014,Spain,CONC
62013CO0102,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 3 July 2014,Tenth Chamber,Federal Republic of Germany v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑102/13 P,ECLI identifier: ECLI:EU:C:2014:2054,1/3/2013,3/7/2014,Germany,CONC
62013CO0142,Šváby,Mengozzi,Order of the Court (Tenth Chamber) of 27 March 2014,Tenth Chamber,Bright Service SA v Repsol Comercial de Produtos Petrolíferos SA,Request for a preliminary ruling from the Audiencia Provincial de Barcelona,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Agreements; decisions and concerted practices — Article 81 EC — Exclusive purchasing agreement — Exemption — Regulation (EEC) No 1984/83 — Agreement to which the exemption applies — Regulation (EC) No 2790/1999 — Agreement to which the exemption does not apply — Temporal effects of the exemption,Case C‑142/13,ECLI identifier: ECLI:EU:C:2014:204,20/03/2013,27/03/2014,Spain,CONC
62012CO0581,Šváby,Kokott,Order of the Court (Tenth Chamber) of 21 November 2013,Tenth Chamber,  Kuwait Petroleum Corp, and Others v European Commission,  Appeals - Agreements; decisions and concerted practices - Netherlands market in road pavement bitumen - Setting of the gross price of road pavement bitumen - Setting of a rebate for road builders - 2002 Leniency Notice - Last paragraph of point 23(b) - Partial immunity - Evidence relating to facts previously unknown to the Commission - Appeal manifestly inadmissible or manifestly unfounded,  Case C-581/12 P,ECLI identifier: ECLI:EU:C:2013:772,11/12/2012,21/11/2013,United Kingdom; Netherlands,CONC
62009CO0496,Šváby,Jääskinen,Order of the Court (Third Chamber) of 11 July 2013,Third Chamber,  Italian Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-496/09 INT,ECLI identifier: ECLI:EU:C:2013:461,14/02/2013,11/7/2013,Italy,CONC
62015CO0526,Šváby,Saugmandsgaard Øe,Order of the Court (Eighth Chamber) of 27 October 2016,Eighth Chamber,Uber Belgium BVBA v Taxi Radio Bruxellois NV,Request for a preliminary ruling from the Nederlandstalige rechtbank van koophandel Brussel,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court — Inadmissibility — Transportation of persons by motor vehicles — Private drivers using a smart phone application to connect them to people wishing to travel within urban areas — Requirement to hold an operating permit,Case C-526/15,ECLI identifier: ECLI:EU:C:2016:830,5/10/2015,27/10/2016,Belgium,DFON
62009CO0408,Šváby,Kokott,Order of the Court (Seventh Chamber) of 12 February 2010,Seventh Chamber,  Município de Barcelos v Estado português,  Reference for a preliminary ruling: Município de Barcelos - Portugal,  Definition of ‘national jurisdiction’ - Manifest lack of jurisdiction,  Case C-408/09,ECLI identifier: ECLI:EU:C:2010:77,23/10/2009,12/2/2010,Portugal,ENV
62008CO0573,Šváby,Sharpston,Order of the President of the Court of 10 December 2009,,  European Commission v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-573/08 R,ECLI identifier: ECLI:EU:C:2009:775,20/11/2009,10/12/2009,Italy,ENV
62015CO0526,Šváby,Saugmandsgaard Øe,Order of the Court (Eighth Chamber) of 27 October 2016,Eighth Chamber,Uber Belgium BVBA v Taxi Radio Bruxellois NV,Request for a preliminary ruling from the Nederlandstalige rechtbank van koophandel Brussel,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court — Inadmissibility — Transportation of persons by motor vehicles — Private drivers using a smart phone application to connect them to people wishing to travel within urban areas — Requirement to hold an operating permit,Case C-526/15,ECLI identifier: ECLI:EU:C:2016:830,5/10/2015,27/10/2016,Belgium,ETAB
62014CO0318,Šváby,Wahl,Order of the Court (Tenth Chamber) of 21 May 2015,Tenth Chamber,Slovenská autobusová doprava Trnava a,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-318/14,ECLI identifier: ECLI:EU:C:2015:352,3/7/2014,21/05/2015,Czech Republic,ETAB
62011CO0564,Šváby,Wahl,Order of the Court (Tenth Chamber) of 16 May 2013,Tenth Chamber,  Consulta Regionale Ordine Ingegneri della Lombardia and Others v Comune di Pavia,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Article 99 of the Rules of Procedure - Public contracts - Directive 2004/18/EC - Article 1(2)(a) and (d) - Services - Study and technical and scientific consultancy for the purposes of drawing up the measures forming a municipal town and country planning programme - Contract concluded between two public entities; one of which is a university - Public entity capable of being classified as an economic operator,  Case C-564/11,ECLI identifier: ECLI:EU:C:2013:307,9/11/2011,16/05/2013,Italy,ETAB
62010CO0229,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,  Maria Alice Pendão Lapa Costa Ferreira and Alexandra Pendão Lapa Ferreira v Companhia de Seguros Tranquilidade SA,  Reference for a preliminary ruling: Tribunal Cível da Comarca do Porto - Portugal,  Article 99 of the Rules of Procedure - Insurance against civil liability in respect of the use of motor vehicles - Directives 72/166/EEC; 84/5/EEC and 90/232/EEC - Right to compensation by means of compulsory insurance against civil liability in respect of the use of motor vehicles - Civil liability of the insured person - Victim’s contribution to loss or injury - Exclusion or limitation of the right to compensation,  Case C-229/10,ECLI identifier: ECLI:EU:C:2013:179,10/5/2010,21/03/2013,Portugal,ETAB
62014CO0159,Šváby,Mengozzi,Order of the Court (Tenth Chamber) of 15 July 2015,Tenth Chamber,Koela-N EOOD v Direktor na Direktsia „Obzhalvane i danachno-osiguritelna praktika“ Varna pri Tsentralno upravlenie na Natsionalnata agentsia za prihodite,Request for a preliminary ruling from the Administrativen sad - Varna,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Taxation — VAT — Directive 2006/112/EC — Principle of fiscal neutrality — Deduction of input VAT — ‘Supply of goods’ — Condition for the existence of a supply of goods — Direct transfer of goods from a supplier to a third party by a carrier — No evidence of actual possession of the goods by the direct supplier — Lack of cooperation between the suppliers and the tax authorities — No transhipment of goods — Evidence justifying suspicions of tax fraud,Case C-159/14,ECLI identifier: ECLI:EU:C:2015:513,4/4/2014,15/07/2015,Bulgaria,FISC
62014CO0123,Šváby,Mengozzi,Order of the Court (Tenth Chamber) of 15 July 2015,Tenth Chamber,Itales OOD v Direktor na Direktsia „Obzhalvane i danachno-osiguritelna praktika“ Varna pri Tsentralno upravlenie na Natsionalnata agentsia za prihodite,Reqeust for a preliminary ruling from the Administrativen sad - Varna,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Taxation — VAT — Directive 2006/112/EC — Principle of tax neutrality — Deduction of input VAT — Meaning of ‘supply of goods’ — Conditions for establishing a supply of goods — No proof that the direct supplier was actually in possession of the goods,Case C-123/14,ECLI identifier: ECLI:EU:C:2015:511,14/03/2014,15/07/2015,Bulgaria,FISC
62012CO0468,Šváby,Kokott,Order of the Court (Tenth Chamber) of 20 June 2013,Tenth Chamber,  Camera di Commercio; Industria; Artigianato e Agricoltura (CCIAA) di Cosenza v Ciesse srI,  Reference for a preliminary ruling: Tribunale di Cosenza - Italy,  Request for a preliminary ruling - Rules of Procedure - Articles 53(2); 93(a); and 99 - Directive 200817/EC - Indirect taxes on the raising of capital - Article 5(1)(c) - Scope - Annual duty paid to local chambers of commerce; industry; crafts and agriculture,  Case C-468/12,ECLI identifier: ECLI:EU:C:2013:417,19/10/2012,20/06/2013,Italy,FISC
62012CO0444,Šváby,Mengozzi,Order of the Court (Tenth Chamber) of 16 May 2013,Tenth Chamber,  Hardimpex Kft,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-444/12,ECLI identifier: ECLI:EU:C:2013:318,3/10/2012,16/05/2013,Hungary,FISC
62011CO0021,Šváby,Kokott,Order of the Court (Seventh Chamber) of 7 June 2012,Seventh Chamber,Volturno Trasporti Sas di Santoro Nino e c,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑21/11,ECLI identifier: ECLI:EU:C:2012:325,14/01/2011,7/6/2012,Italy,FISC
62017CO0231,Šváby,Wathelet,Order of the Court (Eighth Chamber) of 6 July 2017,Eighth Chamber,Vatseva v European Court of Human Rights,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-231/17 P,ECLI identifier: ECLI:EU:C:2017:526,3/5/2017,6/7/2017,France,INST
62016CO0343,Šváby,Tanchev,Order of the Court (Eighth Chamber) of 12 January 2017,Eighth Chamber,Europäischer Tier- und Naturschutz eV and Horst Giesen v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-343/16 P,ECLI identifier: ECLI:EU:C:2017:10,20/06/2016,12/1/2017,Germany,INST
62013CO0078,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 3 October 2013,Tenth Chamber,  Constantin Hârsulescu v Romania,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-78/13 P,ECLI identifier: ECLI:EU:C:2013:653,15/01/2013,3/10/2013,Romania,INST
62009CO0496,Šváby,Jääskinen,Order of the Court (Third Chamber) of 11 July 2013,Third Chamber,  Italian Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-496/09 INT,ECLI identifier: ECLI:EU:C:2013:461,14/02/2013,11/7/2013,Italy,INST
62012CO0016,Šváby,Bot,Order of the Court (Seventh Chamber) of 6 July 2012,Seventh Chamber,Hermes Hitel és Faktor Zrt v Nemzeti Földalapkezelő Szervezet,Reference for a preliminary ruling — Gyulai Törvényszék — Interpretation of the general principles of European Union law — Mortgage loan contract concluded between a financial establishment and a public body — Legislative amendment declaring non-transferable certain forested areas which were previously traded — Amendment preventing public auction of the property mortgaged following legal proceedings brought by a creditor for non-performance of the contract by the debtor,Reference for a preliminary ruling — General principles of European Union law — Forestry Act — Lack of connection to European Union law — Clear lack of jurisdiction of the Court,Case C‑16/12,ECLI identifier: ECLI:EU:C:2012:426,13/01/2012,6/7/2012,Hungary,PRIN
62010CO0519,Šváby,Cruz Villalón,Order of the Court (Seventh Chamber) of 18 November 2011,Seventh Chamber,  Giovanni Colapietro v Ispettorato Centrale Repressioni Frodi,  Reference for a preliminary ruling: Tribunale di Bari - Italy,  Reference for a preliminary ruling - Articles 92(1); 103(1) and the second subparagraph of 104(3) of the Rules of Procedure - Wine sector - Regulation (EEC) No 822/87 and Regulation (EC) No 343/94 - Answer to the question admitting of no reasonable doubt - Manifest inadmissibility,  Case C-519/10,ECLI identifier: ECLI:EU:C:2011:758,27/10/2010,18/11/2011,Italy,PRIN
62009CO0496,Šváby,Jääskinen,Order of the Court (Third Chamber) of 11 July 2013,Third Chamber,  Italian Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-496/09 INT,ECLI identifier: ECLI:EU:C:2013:461,14/02/2013,11/7/2013,Italy,PROC
62017CO0560,Šváby,Bot,Order of the Court (Eighth Chamber) of 13 March 2018,Eighth Chamber,Mediaexpert sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-560/17 P,ECLI identifier: ECLI:EU:C:2018:179,22/09/2017,13/03/2018,Poland,PROP
62016CO0678,Šváby,Saugmandsgaard Øe,Order of the Court (Eighth Chamber) of 18 January 2018,Eighth Chamber,Monster Energy Company v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-678/16 P,ECLI identifier: ECLI:EU:C:2018:24,29/12/2016,18/01/2018,,PROP
62017CO0086,Šváby,Bobek,Order of the Court (Eighth Chamber) of 7 June 2017,Eighth Chamber,Redpur GmbH v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-86/17 P,ECLI identifier: ECLI:EU:C:2017:428,16/02/2017,7/6/2017,Germany,PROP
62016CO0576,Šváby,Bot,Order of the Court (Eighth Chamber) of 2 March 2017,Eighth Chamber,TVR Italia Srl v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-576/16 P,ECLI identifier: ECLI:EU:C:2017:165,14/11/2016,2/3/2017,Italy,PROP
