source,main_subject
62016CJ0267,ADH
62016CJ0281,ADH
62014CJ0409,ADH
62013CJ0660,ADH
62014CJ0103,ADH
62013CJ0586,ADH
62013CJ0539,ADH
62011CJ0262,ADH
62011CJ0471,ADH
62011CJ0146,ADH
62009CJ0336,ADH
62011CJ0015,ADH
62010CJ0017,ADH
62009CJ0410,ADH
62009CJ0307,ADH
62008CJ0385,ADH
62008CJ0350,ADH
62009CJ0248,ADH
62008CJ0140,ADH
62007CJ0560,ADH
62007CJ0420,ADH
62006CJ0161,ADH
62006CJ0184,ADH
62005CJ0141,ADH
62004CJ0273,ADH
62004CJ0134,ADH
62004CJ0414,ADH
62004CJ0413,ADH
62005CJ0140,ADH
62003CJ0087,ADH
62002CJ0293,ADH
62003CJ0349,ADH
62001CJ0356,ADH
62001CJ0030,ADH
62000CJ0445,ADH
62001CJ0300,ADH
61999CJ0029,ADH
61998CJ0367,ADH
62000CJ0179,ADH
61999CJ0192,ADH
61997CJ0355,ADH
61997CJ0206,ADH
61997CJ0321,ADH
61997CJ0233,ADH
61996CJ0171,ADH
61996CJ0027,ADH
61995CJ0259,ADH
61994CJ0160,ADH
61995CJ0138,ADH
61995CJ0071,ADH
61995CJ0047,ADH
61995CJ0267,ADH
61994CJ0300,ADH
61994CJ0045,ADH
61991CJ0171,ADH
61991CJ0292,ADH
61991CJ0076,ADH
61990CJ0361,ADH
61989CJ0279,ADH
61990CJ0191,ADH
61990CJ0071,ADH
61990CJ0063,ADH
61990CJ0073,ADH
61990CJ0070,ADH
61989CJ0313,ADH
61989CJ0146,ADH
61989CJ0355,ADH
61989CJ0099,ADH
61989CJ0046,ADH
61989CJ0113,ADH
61988CJ0337,ADH
61987CJ0003,ADH
61987CJ0216,ADH
61988CJ0136,ADH
61987CJ0097,ADH
61988CJ0009,ADH
61988CJ0170,ADH
61986CJ0250,ADH
61987CJ0229,ADH
61986CJ0203,ADH
61986CJ0253,ADH
61986CJ0031,ADH
61986CJ0097,ADH
61986CJ0207,ADH
61986CJ0147,ADH
61985CJ0194,ADH
61986CJ0223,ADH
61986CJ0055,ADH
61984CJ0194,ADH
61986CJ0254,ADH
61986CJ0119,ADH
61986CJ0128,ADH
61984CJ0044,ADH
61984CJ0071,ADH
61983CJ0192,ADH
61982CJ0011,ADH
61983CJ0289,ADH
61983CJ0063,ADH
61983CJ0114,ADH
61983CJ0012,ADH
61983CJ0058,ADH
61983CJ0024,ADH
61982CJ0031,ADH
61982CJ0222,ADH
61982CJ0087,ADH
61982CJ0077,ADH
61981CJ0258,ADH
61981CJ0287,ADH
61981CJ0250,ADH
61981CJ0039,ADH
61981CJ0021,ADH
61980CJ0269,ADH
61980CJ0250,ADH
61980CJ0124,ADH
61979CJ0804,ADH
61979CJ0812,ADH
61979CJ0032,ADH
61978CJ0141,ADH
61978CJ0232,ADH
61978CJ0185,ADH
