c1,c2,c3,c4,c5,c6,c7
62010CO0028,Order of the Court (Second Chamber) of 2 September 2010. , Mehmet Salih Bayramoglu v European Parliament and Council of the European Union. , Appeals - Article 119 of the Rules of Procedure - Irregular form of order sought - Clear inadmissibility. , Case C-28/10 P.
62007CO0023,Order of the Court (Second Chamber) of 12 June 2008.,Confcooperative Friuli Venezia Giulia and Others v Ministero delle Politiche agricole; alimentari e forestali and Regione Friuli-Venezia Giulia.,Reference for a preliminary ruling: Tribunale amministrativo regionale del Lazio - Italy.,Agriculture - Regulations (EC) Nos 1493/1999; 753/2002 and 1429/2004 - Common organisation of the market in wine - Labelling of wines - Use of names of vine varieties or synonyms thereof - Geographical indication 'Tokaj' for wines originating in Hungary - Possible use of vine variety name 'Tocai friulano' or 'Tocai italico' in addition to the geographical indication of certain wines originating in Italy - Exclusion after a transitional period of thirteen years expiring on 31 March 2007 - Validity - Legal basis - Article 34 EC - Principle of non-discrimination - Principles of international law on treaties - Accession of Hungary to the European Union - Articles 22 to 24 of the TRIPs Agreement.
62001CO0321,Order of the Court (Third Chamber) of 5 November 2002. , Agrana Zucker und Stärke AG v Commission of the European Communities. , Appeal - State aid - Act of Accession of the Republic of Austria - Joint Declaration No 31 annexed to the Final Act of the Treaty on the Accession of the Republic of Austria. , Case C-321/01 P.
62002CO0296,Order of the President of the Court of 23 October 2002. , Republic of Austria v Commission of the European Communities. , Application for interim measures - System of ecopoints for heavy goods vehicles transiting through Austria - 108% clause. , Case C-296/02 R.
62000CO0030,Order of the Court (First Chamber) of 11 October 2001. , William Hinton &amp; Sons Ldª v Fazenda Pública. , Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal. , Article 104(3) of the Rules of Procedure - Post-clearance recovery of import duties - Entry in the accounts of the import duties to be collected - Expiry of the time-limit for taking action for recovery - Article 254 of the Act of Accession of Spain and Portugal - Obligation incumbent on the Portuguese Republic to proceed; at its own costs; to the elimination of certain stocks of product. , Case C-30/00.
61993CO0107(01),Order of the President of the Court of 16 July 1993. , Asociación Española de Fabricantes de Margarina v Commission of the European Communities. , Application for interim measures - Inadmissibility of the main action. , Case C-107/93 R.
61993CO0107,Order of the Court of 12 July 1993. , Asociación Española de Fabricantes de Margarina v Commission of the European Communities. , Inadmissibility. , Case C-107/93.
61986CO0117(01),Order of the Court of 5 November 1986. , § Unión de Federaciones Agrarias de España (UFADE) v Council and Commission of the European Communities. , Inadmissibility. , Case 117/86.
61986CO0128,Order of the President of the Court of 10 July 1986. , Kingdom of Spain v Commission of the European Communities. , Viticultural products - Regulatory amounts. , Case 128/86 R.
61986CO0117,Order of the President of the Court of 10 July 1986. , Union de Federaciones Agrarias de España (UFADE) v Council and Commission of the European Communities. , Viticultural products - General rules and detailed rules for application of the supplementary trade mechanism provided for in the Act of Accession of the Kingdom of Spain. , Case 117/86 R.
